DrugBank ID,Common name,SMILES
DB00144,Phosphatidyl serine,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC
DB00145,Glycine,NCC(=O)O
DB00146,Calcifediol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
DB00147,Pyridoxal,Cc1ncc(CO)c(C=O)c1O
DB00148,Creatine,CN(CC(=O)O)C(=N)N
DB00149,Leucine,CC(C)C[C@H](N)C(=O)O
DB00150,Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
DB00151,Cysteine,N[C@@H](CS)C(=O)O
DB00152,Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
DB00153,Ergocalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
DB00154,Daleuton,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
DB00155,Citrulline,NC(=O)NCCC[C@H](N)C(=O)O
DB00156,Threonine,C[C@@H](O)[C@H](N)C(=O)O
DB00158,Folic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00159,Icosapent,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
DB00160,Alanine,C[C@H](N)C(=O)O
DB00161,Valine,CC(C)[C@H](N)C(=O)O
DB00162,Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
DB00163,Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DB00165,Pyridoxine,Cc1ncc(CO)c(CO)c1O
DB00166,Lipoic acid,O=C(O)CCCC[C@@H]1CCSS1
DB00167,Isoleucine,CC[C@H](C)[C@H](N)C(=O)O
DB00168,Aspartame,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DB00169,Cholecalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
DB00170,Menadione,CC1=CC(=O)c2ccccc2C1=O
DB00172,Proline,O=C(O)[C@@H]1CCCN1
DB00173,Adenine,Nc1ncnc2nc[nH]c12
DB00174,Asparagine,NC(=O)C[C@H](N)C(=O)O
DB00175,Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB00176,Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
DB00177,Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
DB00178,Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
DB00179,Masoprocol,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
DB00180,Flunisolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DB00181,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182,Amphetamine,CC(N)Cc1ccccc1
DB00183,Pentagastrin,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
DB00184,Nicotine,CN1CCC[C@H]1c1cccnc1
DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187,Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189,Ethchlorvynol,C#CC(O)(/C=C/Cl)CC
